"nombre","descripcion","telefono","correo","sitioWeb"
"ITSolutions","Empresa cuya innovación (DOM Digital), automatiza y digitaliza los procesos de Edificación y Urbanización en la Dirección de Obras Municipales, permitiendo controlar las solicitudes de inicio a cierre del trámite, manteniendo comunicado al vecino, arquitecto o empresa solicitante. Opera 100% en la nube, es muy flexible, se adapta al tamaño del municipio y permite el llenado en línea de los formularios validando que se cumpla la normativa del Ministerio de Vivienda y Urbanismo.","+562 23610864","info@itsolutions.cl","www.itsolutions.cl"
"Comunidad Feliz","Comunidad Feliz es una empresa proveedora de tecnología para edificios y condominios. En un año y medio han trabajado con la empresa 750 edificios y más de 100.000 copropietarios en Chile.","+562 3203 0883","david.pena@comunidadfeliz.cl","www.comunidadfeliz.cl"
"Edifito","Empresa que desarrolla un software que ayuda a ordenar la gestión de recursos de un edificio o condominio. Genera de manera automática el gasto común y las colillas de cobro individual. También ordena y simplifica el cálculo de remuneraciones y realiza de manera automática la generación de más de 20 tipos de informes de gestión.","+562 29880800","contacto@edifito.com","www.edifito.com"
"Choapa & Cía Software e Ingeniería Limitada","Empresa de soluciones informáticas enfocada en brindar la mejor atención y cubrir todos los requerimientos de sus clientes, de manera clara, transparente, eficaz y oportuna. La empresa se enfoca en desarrollo software, desarrollo web, posicionamiento SEO y brindar soporte informático personalizado con personal altamente calificado para tales fines.","+569 62715019","contacto@chosei.cl","www.chosei.cl"
"ReciclApp","ReciclApp es una aplicación que busca optimizar y mejorar el proceso de reciclado en Chile, uniendo personas que tienen material reutilizable, con recicladores dispuestos a retirar este material y comercializarlo libremente.","contacto@reciclapp.cl","reciclapp.cl",""
"Bikelite","Bikelite es una nueva aplicación gratuita, de creación chilena, que busca entregar una solución que todo ciclista busca: encontrar la ruta más segura para llegar a destino. Además, esta herramienta también tiene como objetivo organizar los desplazamientos urbanos sin depender de las ciclovías, generar comunidad entre los ciclistas y motivar a las personas a usar la bicicleta.","+562 23542280","hola@bikelite.cl","www.bikelite.cl"
"ReciclApp","ReciclApp es una aplicación que busca optimizar y mejorar el proceso de reciclado en Chile, uniendo personas que tienen material reutilizable, con recicladores dispuestos a retirar este material y comercializarlo libremente.","contacto@reciclapp.cl","reciclapp.cl",""
"Bikelite","Bikelite es una nueva aplicación gratuita, de creación chilena, que busca entregar una solución que todo ciclista busca: encontrar la ruta más segura para llegar a destino. Además, esta herramienta también tiene como objetivo organizar los desplazamientos urbanos sin depender de las ciclovías, generar comunidad entre los ciclistas y motivar a las personas a usar la bicicleta.","+562 23542280","hola@bikelite.cl","www.bikelite.cl"
"Ediciones del Quijote","Ediciones Del Quijote nace orientada a los servicios editoriales, tanto en formato impreso como digital, pero siempre con la visión de incorporar la tecnología a las prácticas cotidianas de lectura y aprendizaje de los niños.","+569 79596671","contacto@edicionesdelquijote.cl","edicionesdelquijote.cl"
"Kys Soluciones Ltda.","Kys Soluciones Ltda. nace en marzo del 2000, con la finalidad de canalizar la experiencia que su socio fundador había adquirido a través de 20 años de desempeño en las áreas de Sistemas y Operaciones en los principales bancos del país. Por su variedad de recursos técnicos, la empresa ofrece su conocimiento y experiencia en el sistema financiero fundado en el éxito de aplicaciones bajo entornos cliente/servidor y Web.","+562 24209999","contacto@kys.cl","www.kys.cl"
"Ionix SPA","Ionix es una empresa con presencia regional, fundada en el año 2009, pionera en el desarrollo de soluciones tecnológicas móviles y en el área Fintech. En sus cerca de 8 años de experiencia, Ionix se ha especializado en desarrollar productos móviles para la industria bancaria y financiera latinoamericana.","+562 22641588","contacto@ionix.cl","www.ionix.cl"
"Gestran","Empresa chilena con 12 años de experiencia, creando y prestando servicios de inteligencia transaccional para la industria financiera latinoamericana. La compañía la integran profesionales de vasta experiencia en bancos, servicios financieros y servicios tecnológicos.","+562 26882728","mauricio.cisterna@gestran.cl","www.gestran.cl"
"Plantsss","Aplicación chilena ideada para todas las personas interesadas en la naturaleza. Creada por Max Delporte en 2013, Plantsss funciona como una verdadera biblioteca virtual de plantas, que también puede ser descargada gratuitamente en el sistema operativo Android.","info@plantsss.com","www.plantsss.com",""
"Camponectado","Camponectado es una empresa especializada en colocar sensores dependiendo de las necesidades o de lo que quiera medir el cliente. Uno de sus productos es Raíz Artificial Inteligente, un sistema de control y automatización de cultivos en tiempo real.","562 32 350 3840","contacto@camponectado.com","http://www.camponectado.com/"
"Xmartic","Xmartic es una empresa especializada en la administración, gestión, supervisión y diseño de plataformas de monitoreo. Una de sus soluciones es Trackit que permite efectuar estudio del flujo y comportamiento de personas, utilizando información que emiten los smartphones, dispositivos wifi, dispositivos bluetooth y, con esta información, convertida en indicadores y estadísticas, dar apoyo al negocio.","+56 32 3433964","contacto@xmartic.com","www.xmartic.com/"
"Biopacific","La empresa nace en Santiago de Chile el año 2007, con el objetivo de construir una plataforma de desarrollo biotecnológico sustentable y consciente con el medio ambiente.","562 25265228","romina.almasia@biopacific.cl","http://www.biopacific.cl/"
"Baobab","Estudio de diseño boutique orientado a crear valor en las necesidades de sus clientes en sus diversas plataformas de comunicación.","+56 9 9679 4845","mariajose@baobabdiseno.cl","http://www.baobabdiseno.com/"
"Brandbook","Agencia que desarrolla marcas diferenciadas, relevantes y consistentes con la fórmula de una expertise integrada, creativa, sorprendente y una estética inspiradora.","+56 2 22484700","bernardita@brandbook.cl","http://www.brandbook.cl/"
"Latincom Telecomunicaciones","Entrega servicios y teléfonos satelitales a través de sus representadas Astrium, Inmarsat e Iridium para los mercados marítimo, terrestre y aéreo, suministrando los equipos terminales y el servicio de capacidad satelital en las bandas L, Ku, Ka y X, de tal manera de satisfacer cualquier demanda de parte de sus clientes.","+5622 231 71 16","contacto@latincom.cl","latincom.cl/"
"Zoco","Zoco es un software online de modalidad “SaaS” (Software As A Service) que ayuda a publicar y administrar un negocio en Mercado Libre.","+569 44556568","contacto@zoco.cl","www.zoco.cl/"
"Actis","Servicios de outsourcing para los diferentes procesos de un proyecto. Cuentan con capital humano para asesorías estratégicas, tácticas y operativas. Desarrollo, construcción e implementación de tecnologías.","+56 22 907 2461","contacto@actis.cl","www.actis.cl/"
"2Brains","Crean soluciones integrales, combinando experiencia de usuario y desarrollo con equipos dedicados cien por ciento a cada área.","+56 2 3273 1300","info@2brains.cl","www.2brains.cl/"
"4Talent","Empresa desarrolladora y comercializadora de tecnología para recursos humanos.","+56 9 4569 8307","contact@4talent.cl","www.4talent.cl/"
"TCIT","TCIT nace de la necesidad de las empresas con problemas tecnológicos que no podían haber sido resueltos por la oferta disponible en el mercado: desarrolladores independientes con poco profesionalismo y grandes empresas que resultaban demasiado costosas.","+56 9 8545 3340","contact@tcit.cl","www.tcit.cl/"
"Actis","Servicios de outsourcing para los diferentes procesos de un proyecto. Cuentan con capital humano para asesorías estratégicas, tácticas y operativas. Desarrollo, construcción e implementación de tecnologías.","+56 22 907 2461","contacto@actis.cl","www.actis.cl/"
"2Brains","Crean soluciones integrales, combinando experiencia de usuario y desarrollo con equipos dedicados cien por ciento a cada área.","+56 2 3273 1300","info@2brains.cl","www.2brains.cl/"
"Adevcom Ltda.","Expertos en el desarrollo de software a medida y especialistas en el desarrollo de sistemas de información geográficos y soluciones móviles empresariales.","+562 270 442 06","contacto@adevcom.cl","www.adevcom.cl/"
"Canal Cero","Compañía especializada en planificación, ejecución y optimización de campañas digitales en diversos formatos y redes. Desarrollo de plataformas web.","+562 3245 2818","contacto@canalcero.cl","canalcero.com/"
"ComparaOnline","Plataforma web de asesoría financiera.","+562 2 483 9100","contact@comparaonline.com","www.comparaonline.cl"
"Initt","Initt desarrolla plataformas y sensores para industrias y ciudades inteligentes. Entre los servicios más destacados se encuentra la plataforma en la nube llamada HiveNode que permite conectar diversos sensores para visualizar datos y recibir alertas en tiempo real. Desde el punto de vista del hardware, Initt en alianza con Xelion, ha desarrollado dispositivos que permiten medir variables como ruido, temperatura, humedad, polución, gases y varios otros, los cuales se encuentran validados y empaquetados.","+569 65882730","me@angelocares.com","initt.xenitt.cl"
"CAppTime","Equipo de especialistas con larga trayectoria en la industria, con una mirada orientada al cliente, dispuestos a ayudar a las empresas que requieren apoyo en el diseño, desarrollo, mantención y soporte de software y aplicaciones móviles y sistemas, a través de procesos inteligentes de Consultoría Tecnológica.","+56 222718048","rnavarro@capp-time.com","www.capp-time.com/"
"Biometrika","Soluciones tecnológicas para realizar el registro, la verificación e identificación de personas y objetos.","+56 2 2402 9772","info@biometrika.cl","www.biometrikalatam.com/"
"Asimov","Generación de valor a través del uso de tecnologías avanzadas para conseguir resultados de alto impacto.","+56 2 2465 2021","contacto@asimov.cl","asimov.cl/"
"ACL SPA","Empresa chilena con más de 25 años en el mercado tecnológico, ofreciendo servicios integrales de Desarrollo de Software, Profesionales TI, Consultorías y Gestión TI.","+56 2 25971710","info@acl.cl","www.acl.cl/"
"Arkano","Orientada a facilitar a sus clientes la mejora de sus procesos de negocio, entregando conocimiento especializado en tecnologías de la información y creando soluciones a medida para la organización.","+56 2 2760 9131","administracionchile@arkanosooft.com","arkano.cl/"
"Kibernum","Nace en 1991 como una empresa de desarrollo de software. En 2016, ya contaba con más de 1500 colaboradores, convirtiéndose en una de las comunidades TI más grandes de Chile. La compañía ha ampliado su oferta de servicios: PMO, Arquitectura empresarial y QA.","+562 228163500","contacto@kibernum.com","www.kibernum.com"
"Dell EMC Chile S.A.","Por medio de productos y servicios innovadores, Dell EMC acelera el viaje al cómputo en la nube, ya que ayuda a los departamentos de TI a almacenar, administrar, proteger y analizar el recurso más valioso de cada empresa, que es la información, de manera más ágil, confiable y rentable. Es así como Dell EMC Chile permite a las empresas y a los proveedores de servicios transformar sus operaciones y ofrecer tecnología de la información como servicio (ITaaS).","+5622 3733100","paulina.lopeznoriega@emc.com","www.dellemc.com/es-cl/index.htm"
"Datactil","Empresa de asesorías tecnológicas, aplicadas en sistemas de información y reingeniería de procesos a otras compañías.","569737814900","roberto.datactil@gmail.com","www.datactil.com"
"Ingeniería y Sistemas Computacionales S.A.","Empresa de tecnologías de la información e integración de sistemas, especializada en otorgar soluciones informáticas integrales a empresas y organismos del Sector Público, con clientes en gran parte del territorio nacional.","+562 24987777","pcarrasco@insico.cl","www.insico.cl"
"Motion Displays","Empresa conformada por expertos en negocio, en tecnología y en marketing digital. Su tarea es entregar a sus clientes soluciones tecnológicas innovadoras que les permitan mejorar la experiencia de compra, la productividad, reducir los costos de operaciones y aumentar las ventas.","+569 83081065","info@motiondisplays.cl","www.motiondisplays.cl/"
"TESC Sistemas","TESC Sistemas es una compañía integrada por profesionales con más de 15 años de experiencia en consultoría en tecnologías de la información y en particular, en implementación de soluciones sobre SAP.","+56 9 997111519","info@tescsistemas.com","www.tescsistemas.com/#!/-inicio/"
"Trebol-IT","Trebol-IT ofrece soluciones informáticas integrales, incorporando mayor creatividad, que agregue valor a los procesos de sus clientes.","+562 23628800","contacto@trebol-it.com","www.trebol-it.com/"
"Guadaltel","En Guadaltel trabajan desde hace más de 25 años en el desarrollo de soluciones tecnológicas que sirvan de impulso de la sociedad de la información.","+56 226 64 62 63","buzon@guadaltel.com","www.guadaltel.com/"
"Sirantic","Empresa joven conformada por profesionales de amplia experiencia en el desarrollo e implementación de sistemas de información para laboratorios clínicos y centros de salud a nivel nacional.","+56 2 2692 4407","info@sirantic.cl","www.sirantic.cl/"
"G-Talent","Empresa de servicios de desarrollo de software en todas las plataformas disponibles en el mercado, servicios de soporte de software y hardware, servicios de Outsourcing en el área de TI.","+562 2763 5900","contacto@g-talent.cl","www.g-talent.cl/"
"SoftPatagonia","En SoftPatagonia se dedican a prestar servicios tecnológicos orientados a Bussiness Intelligence, Factoría de Software Mobile y de Transformación Digital.","+56 2 2360 7775","info@softpatagonia.com","www.softpatagonia.com/"
"Emergya","Emergya es una compañía global de servicios de Tecnologías de la Información (TI), especializada en el desarrollo de soluciones software y en la provisión de servicios TI para maximizar la satisfacción del cliente y el usuario.","+56 22 348 6403","contacto-chile@emergya.com","www.emergya.com/cl"
"Grupo Taisa","Crear los mejores vínculos digitales para entregar la mejor experiencia de usuario y desarrollar el negocio de sus clientes.","+56 2 2726 4100","contacto@grupotaisa.com","www.grupotaisa.com/"
"Finmarkets","Finmarkets provee soluciones gestionadas web y móviles para diferentes sectores destacando banca, corredores de bolsa, minería, retail, entre otros.","+562 2 953 65 95","osalvo@finmarkets.cl","www.finmarkets.cl/"
"Dox","Dedicados al desarrollo de software, consultoría en ingeniería de software, servicio de administración y soporte de plataforma.","56232104810","contacto@dox.cl","www.dox.cl/"
"DataWolke","Datawolke desarrolla soluciones informáticas integrales a través de herramientas y plataformas para generar mayor rentabilidad a las empresas y organizaciones.","+56 9 5659 1419","contacto@datawolke.com","www.datawolke.com/"
"Cas – Chile","Empresa con 30 años en el mercado de las tecnologías de la información dedicada al diseño, desarrollo y mantenimiento de software de gestión pública y municipal.","+5622 4966900","consultas@caschile.cl","www.caschile.cl/"
"BPO Advisors","Creadores de una plataforma de gestión de documentos legales con firma electrónica que permite capturar, almacenar y disponer de todo tipo de documentos electrónicos, permitiendo al cliente gestionar de toda la data contenida en ellos para uso interno y externo, pudiendo agregar atributos como fotos, videos, planos, datos georreferenciados, etc.","+562 3 2317278","contacto@bpo-advisors.net","bpo-advisors.net/"
"BackSpace","Compañía que desarrolla software y servicios de Business Intelligence (BI); software y servicios de Business Process Management (BPM) e inteligencia empresarial.","+562 2 246 89 19","contacto@backspace.cl","backspace.cl/"
"Isercon","Desarrollan proyectos informáticos y de gestión de alta calidad, enfocados a soluciones globalizadas de carácter innovador.","+562 32 2516744","contacto@isercon.cl","www.isercon.cl/isercon/"
"Rezebra Technologies","Rezebra Technologies es una empresa chilena que se ha especializado por más de 15 años en el desarrollo y operación de soluciones tecnológicas, teniendo su core de negocio en el área de la salud pública y privada.","+562 3224 7823","ventas@rezebra.com","www.rezebra.cl/site/"
"Ibermansa","Promueven software de gestión para el mantenimiento y control de equipamiento médico.","+562 28469472","ibermanchile@ibermansa.cl","www.geelectromedico.com/"
"Sidekick","Diseñan y desarrollan experiencias digitales. Se enfocan en e-commerce, sitios web corporativos, desarrollo a medida e integraciones.","+56 9 4344 0447","contacto@sidekick.cl","www.sidekick.cl/"
"Guadaltel","En Guadaltel trabajan desde hace más de 25 años en el desarrollo de soluciones tecnológicas que sirvan de impulso de la sociedad de la información.","+56 226 64 62 63","buzon@guadaltel.com","www.guadaltel.com/"
"Sirantic","Empresa joven conformada por profesionales de amplia experiencia en el desarrollo e implementación de sistemas de información para laboratorios clínicos y centros de salud a nivel nacional.","+56 2 2692 4407","info@sirantic.cl","www.sirantic.cl/"
"G-Talent","Empresa de servicios de desarrollo de software en todas las plataformas disponibles en el mercado, servicios de soporte de software y hardware, servicios de Outsourcing en el área de TI.","+562 2763 5900","contacto@g-talent.cl","www.g-talent.cl/"
"SoftPatagonia","En SoftPatagonia se dedican a prestar servicios tecnológicos orientados a Bussiness Intelligence, Factoría de Software Mobile y de Transformación Digital.","+56 2 2360 7775","info@softpatagonia.com","www.softpatagonia.com/"
"Emergya","Emergya es una compañía global de servicios de Tecnologías de la Información (TI), especializada en el desarrollo de soluciones software y en la provisión de servicios TI para maximizar la satisfacción del cliente y el usuario.","+56 22 348 6403","contacto-chile@emergya.com","www.emergya.com/cl"
"Grupo Taisa","Crear los mejores vínculos digitales para entregar la mejor experiencia de usuario y desarrollar el negocio de sus clientes.","+56 2 2726 4100","contacto@grupotaisa.com","www.grupotaisa.com/"
"Geosolve","Geosolve se especializa en desarrollos a medida basados en SIG (Sistemas de Información Geográfica) de diversos proveedores de la industria, tales como Google Maps, Intergraph, Autodesk, ESRI, MapInfo, Mapserver etc, en diversos mercados.","+562 28974879","contacto@geosolve.cl","www.geosolve.cl/"
"Gear Solutions","Gear Solutions fue concebida, aplicando el concepto boutique de soluciones informáticas.","+569 77795573","info@gearsolutions.com","www.gearsolutions.cl/"
"Connectis","Connectis Chile es una compañía líder en consultoría e integración tecnológica perteneciente al grupo Getronics.","+562 29257400","contacto@connectis-gs.cl","www.connectis-chile.com/"
"Advise","Advise es una empresa fundada a comienzos del año 2003. Brinda servicios de desarrollo de software, tanto para proyectos a medida, como para proyectos de mantención y soporte.","+562 2 2357057","contacto@advise.cl","www.advise.cl/"
"Altiuz","Multinacional tecnológica de origen chileno, fundada el año 2006, especializada en idear e implementar soluciones de negocios.","+56 2 2335 2461","hablamos@altiuz.com","altiuz.com/"
"Amisoft","Empresa de servicios de tecnología de la información que brinda apoyo constante a los procesos críticos del negocio de sus clientes.","+562 2 6579800","contacto@amisoft.cl","www.amisoft.cl/"
"Geosolve","Geosolve se especializa en desarrollos a medida basados en SIG (Sistemas de Información Geográfica) de diversos proveedores de la industria, tales como Google Maps, Intergraph, Autodesk, ESRI, MapInfo, Mapserver etc, en diversos mercados.","+562 28974879","contacto@geosolve.cl","www.geosolve.cl/"
"Gear Solutions","Gear Solutions fue concebida, aplicando el concepto boutique de soluciones informáticas.","+569 77795573","info@gearsolutions.com","www.gearsolutions.cl/"
"Connectis","Connectis Chile es una compañía líder en consultoría e integración tecnológica perteneciente al grupo Getronics.","+562 29257400","contacto@connectis-gs.cl","www.connectis-chile.com/"
"Advise","Advise es una empresa fundada a comienzos del año 2003. Brinda servicios de desarrollo de software, tanto para proyectos a medida, como para proyectos de mantención y soporte.","+562 2 2357057","contacto@advise.cl","www.advise.cl/"
"Kuvasz Solutions","Empresa chilena con presencia en el mercado nacional desde el año 2008, dedicada a la implementación de soluciones transaccionales de misión crítica a la medida, que incluye desarrollo de software, monitoreo y soporte con detección temprana de incidentes, consultoría, entre otros.","+562 2870 7000","contacto@kvz.cl","www.kvz.cl/"
"Geslim","Empresa líder en Chile en recuperación de licencias médicas, con más de 25 años de experiencia que avalan su forma de trabajo inspirado en una constante investigación.","+562 2714 8757","contacto@geslim.cl","www.geslim.cl/web/"
"Decalink Limitada","Decalink Limitada (DLK) es una empresa con 22 años de experiencia en las áreas de Tecnologías de la Información, Automatización de Procesos y Seguridad Industrial.","+562 2716 4769","contacto@decalink.cl","www.decalink.cl/"
"Solu4b","Solu4b es una empresa líder en el mundo de la tecnología y la construcción de plataformas empresariales. Crean ecosistemas digitales optimizados.","+562 2754 4555","contacto@soluforb.com","www.solu4b.com/"
"TI Chile","TI Chile es una compañía de Tecnologías de la Información y la Comunicación (TIC) especializada en la prestación de servicios de consultoría, la realización de proyectos en el ámbito de las telecomunicaciones, el desarrollo de aplicaciones y sistemas de información, y la provisión de infraestructura informática.","+562 25709294","ventas@tichile.cl","www.tichile.cl/"
"Stacks","Empresa del sector TIC especializada en el diseño de soluciones orientadas exclusivamente al sector sanitario.","+562 2333 46 69","cpower@stacks.cl","www.stacks.es/"
"Policomp","Desde 1994 Policomp está en el mercado de los servicios relacionados con las TI, prestando servicios a diversas empresas en Chile y Latinoamérica.","+562 2444 6400","info@policomp.com","www.policomp.com/"
"Nuwit","Empresa chilena con más de 10 años de experiencia, innovando en las estrategias de negocio y utilizando tecnologías de información.","+562 2618 42 00","contacto@nuwit.com","www.nuwit.com/"
"ITWorld","ITWorld se destaca por su larga y continua trayectoria en el mercado nacional de la informática, trabajando con representaciones y distribución de equipamiento de tecnologías de la información de las principales marcas a nivel mundial.","+56 2 23289300","contacto@itworld.cl","itworld.cl/"
"Nielsoft Informática Ltda.","Nielsoft Informática Ltda. es una empresa chilena fundada en agosto de 1998 por profesionales del área de la informática, la publicidad y las telecomunicaciones, con el propósito de acercar las tecnologías de la información al mundo de los negocios.","+562 22642668","servicio@nielsoft.com","www.nielsoft.com/"
"Infodesign","Infodesign S.A. es una empresa de servicios de ingeniería, enfocada en el diseño, desarrollo, implementación y explotación de aplicaciones computacionales de diferente naturaleza.","+562 2635 46 15","info@infodesign.cl","www.infodesign.cl/"
"Nebulan","Dedicados al desarrollo e implementación de servicios Cloud, cuya finalidad es entregar un servicio fácil, rápido, medible y un soporte integral que colabore con las decisiones estratégicas de sus clientes.","+56 226113660","contacto@nebulan.cl","www.nebulan.cl/"
"ITWorld","ITWorld se destaca por su larga y continua trayectoria en el mercado nacional de la informática, trabajando con representaciones y distribución de equipamiento de tecnologías de la información de las principales marcas a nivel mundial.","+56 2 23289300","contacto@itworld.cl","itworld.cl/"
"Nielsoft Informática Ltda.","Nielsoft Informática Ltda. es una empresa chilena fundada en agosto de 1998 por profesionales del área de la informática, la publicidad y las telecomunicaciones, con el propósito de acercar las tecnologías de la información al mundo de los negocios.","+562 22642668","servicio@nielsoft.com","www.nielsoft.com/"
"Infodesign","Infodesign S.A. es una empresa de servicios de ingeniería, enfocada en el diseño, desarrollo, implementación y explotación de aplicaciones computacionales de diferente naturaleza.","+562 2635 46 15","info@infodesign.cl","www.infodesign.cl/"
"Nebulan","Dedicados al desarrollo e implementación de servicios Cloud, cuya finalidad es entregar un servicio fácil, rápido, medible y un soporte integral que colabore con las decisiones estratégicas de sus clientes.","+56 226113660","contacto@nebulan.cl","www.nebulan.cl/"
"Dimasoft","Empresa 100% chilena, que inicia sus actividades el año 1992, orientándose al servicio de desarrollo de software en el ámbito comercial, para entregar soluciones a pequeñas y medianas empresas.","+562 2205 1018","info@dimasoft.cl","www.dimasoft.cl/scripts/dim/first.mvc?ct=x&dsp=3"
"AQuanta","AQuanta ha estado presente en la industria de las Tecnologías de Informática por más de 20 años, en una exitosa trayectoria que les ha permitido consolidarse en el mercado.","+562 29637200","aquanta@aquanta.cl","aquanta.cl/"
"CNBrokers Consulting","CNBrokers Consulting brinda soluciones integrales de informática a nivel mundial, sobre la base de los servicios y experiencia de CNBrokers Systems Consulting.","+562 2881 7658","contacto@cnbrokers.cl","plataformas.tech/cnbrokersTI/"
"CleanCode","CleanCode cuenta con un equipo integral de ingenieros que pueden resolver la mayoría de los problemas TI. Además, en una segunda línea, apoya a las empresas a vender más y mejor mediante consultoría y apoyo en las ventas y generación de demanda.","+562 2814 7060","info@cleancode.cl","www.cleancode.cl/"
"Asicom Group","Asicom Group es una empresa fundada hace más de 40 años y desde sus orígenes han sido pioneros en el desarrollo de proyectos de Tecnología de la Información, BPO y Soluciones de Gestión Empresarial, orientados a bancos, instituciones financieras, inmobiliarias, registro público y comunicación.","+562 2599 5014","icastro@asicom.cl","www.asicom.com/"
"Last Call","Last Call está conformada por un equipo multidisciplinario de profesionales altamente calificados para ofrecer la mejor solución que sus clientes necesitan en el diseño, recomendación y adquisición de licencias de software por volumen, servicios tecnológicos y soluciones en la nube.","+562 2202 4490","contacto@lastcall.cl","www.lastcall.cl/"
"Manager","Manager Software S.A es una compañía que apoya el funcionamiento, administración y gestión de las empresas, brindando soluciones tecnológicas que facilitan los procesos críticos de cada organización.","+56 2 2379 7700","comercial@manager.cl","www.manager.cl/"
"Laudus","Laudus ERP es un software de gestión para pymes que se concentra en la facilidad de uso, herramientas de análisis, e integración de nuevas tecnologías, enfocando su funcionalidad desde el punto de vista del gestor o dueño de la empresa.","+5622 687 0100","info@laudus.cl","www.laudus.cl/"
"Ixopen","Grupo de profesionales especializados en soluciones tecnológicas para la Gestión de Información Empresarial – EIM Enterprise Information Management y software de código abierto para la integración de aplicaciones, datos y contenidos no estructurados.","+56 99 731 0022","hector.beck@ixopen.cl","www.ixopen.cl/"
"Huenei","Fundada en 1995, es un proveedor de servicios de TI regional. En la actualidad cuenta con más de 250 profesionales con oficinas en Argentina, Chile, México y Estados Unidos.","+562 25738572","info@huenei.com","www.huenei.com/index.php/es/home/"
"DTLNet","Empresa con más de 16 años de experiencia de trabajo con el Grupo Santander Chile que cuenta con técnicos y profesionales especializados en las ramas de la programación, análisis y diseño de sistemas informáticos.","+562 2632 6809","contacto@dtlnet.cl","www.dtlnet.cl/"
